name,lat,lon,value,address,work schedule,contacts
Книгарня на Федорова,49.84252823045612,24.033165164025135,20,"вулиця Івана Федорова, 4, Львів, Львівська область, 79000",11:00-18:30,322355418
Книгарня Є,49.84016527847176,24.027756811142385,20,"79000, проспект Свободи, 7, Львів, Львівська область",09:00-21:00,322357368
Книгарня Є,49.83966385519558,24.023523313279558,20,"вулиця Тадеуша Костюшка, 5, Львів, Львівська область, 79000",09:00-21:00,322970190
Книгарня Глобус,49.83903720465754,24.031917797328003,20,"Галицька площа, 12, Львів, Львівська область, 79000",09:00-18:00,322355177
Академічна книгарня,49.837038257988986,24.032601435473918,20,"вулиця Остапа Нижанківського, 5, Львів, Львівська область, 79000",10:00-18:00,322354202
Книгарня Welcome 21st century bookstore (іноземна література),49.840885125263014,24.012963244286006,20,"вулиця Городоцька, 42, Львів, Львівська область, 79000",10:00-19:00,960448775
ДРУЖБА КНИЖКОВИЙ МАГАЗИН,49.83988215457658,24.02975108331322,20,"площа Міцкевича, 8, Львів, Львівська область, 79000",10:00-19:00,322722729
Книгарня,49.84072651803618,24.034743051977546,20,"вулиця Братів Рогатинців, 30, Львів, Львівська область, 79000",10:00-21:00,322357330
Книгарня Vivat,49.8389998547621,24.03190978810762,20,"Галицька площа, 12, Львів, Львівська область, 79005",10:00-20:00,322553400
Книгарня Є,49.83881237158875,24.030621792132482,20,"площа Міцкевича, 1, Львів, Львівська область, 79000",09:00-21:00,322430280
Світ знань,49.84332118579727,24.018722131754974,20,"вул. Леонтовича, str.Leontovicha, 2, Львів, Львівська область, 79007",10:00-18:00,322554640
Книгарня Bookling - Forum Lviv,49.849826658646904,24.02223444539499,20,"ТРЦ FORUM LVIV, 1-ий поверх, вулиця Під Дубом, 7-Б, Львів, Львівська область, 79000",10:00-22:00,442272780
Книжковий Лев,49.83703259211702,24.030919743943205,20,"14, проспект Шевченка, Львів, Львівська область, 79000",11:00-20:00,673577229
Українська книгарня Наукового товариства iм Т. Г. Шевченка,49.83753994103383,24.03103527527763,20,"проспект Шевченка, 8, Львів, Львівська область, 79000",09:00-18:00,322358739
Книгарня-кав’ярня Старого Лева,49.84012109507772,24.031770146170405,20,"вулиця Краківська, 3, Львів, Львівська область, 79008",09:00-21:00,675090982
Дім книги,49.78563674745226,24.06004401979498,20,"проспект Червоної Калини, 105, Львів, Львівська область, 79000",09:30-18:00,971366543
Книгарня-кав'ярня Старого Лева,49.84242299116111,24.030278803142096,20,"вулиця Краківська, 3, Львів, Львівська область, 79008",09:00-21:00,675090982
Фоліо,49.83908210787527,24.028000202382987,20,"вулиця Миколи Коперника, 3, Львів, Львівська область, 79000",10:00-19:00,503934880
Книгарня Є,49.773819443315176,24.01065357764464,20,"1 поверх, ТРЦ King Cross Leopolis, вулиця Стрийська, 30, Сокільники, Львівська область, 81130",09:00-21:00,322970190
Книгарня на Привокзальній,49.836524044032316,24.00401126093499,20,"площа Кропивницького, 11, Львів, Львівська область, 79000",09:00-18:00,673958955
Дім книги,49.84047251106597,24.024211226605008,20,"вулиця Січових Стрільців, 10, Львів, Львівська область, 79491",09:30-18:00,673503793
Дитяча Книга,49.84036396236538,24.02983391980936,20,"вулиця Театральна, 5, Львів, Львівська область, 79000",10:00-19:00,322355750
Перший клас,49.83969846116507,24.037773169982636,20,"вулиця Личаківська, 4, Львів, Львівська область, 79008",10:00-19:00,985440057
Перший Клас,49.810343033435785,23.998687540195608,20,"вулиця Володимира Великого, 59в, Львів, Львівська область, 79000",10:00-19:00,985440058
Оксарт,49.83448640681002,24.00330427645606,20,"вулиця Героїв УПА, 16, Львів, Львівська область, 79000",10:00-18:00,322582718
Перший Клас,49.81491898208716,24.01950672296175,20,"вулиця Академіка Лазаренка, 2, Львів, Львівська область, 79000",09:00-18:00,985440068
Книги і канцтовари,49.797025648285434,24.063853718791588,20,"вулиця Академіка Лазаренка, 2, Львів, Львівська область, 79000",09:00-18:00,985440068
"Інтернет-книгарня ""Країна BOOK""",49.857538347232385,24.041440955494718,20,"вулиця Промислова, 27, Львів, Львівська область, 79000",10:00-19:00,630159199
Добра книжка,49.847457528068716,24.028095509785803,20,"вулиця Богдана Хмельницького, 35/3А, Львів, Львівська область, 79019",09:00-18:00,976767725
Книжковий край,49.81416679782814,24.06377032478938,20,"вулиця Зелена, 147, Львів, Львівська область, 79000",09:00-18:00,322404793
Книгарня Святого Павла - Львів,49.84485122587053,24.035916035506155,20,"вулиця Володимира Винниченка, 32, Львів, Львівська область, 79000",09:30-15:30,679090829
Книгарня-кав'ярня Старого Лева,49.839790380702894,24.04086294552453,20,"вулиця Личаківська, 22, Львів, Львівська область, 79000",10:00-20:00,675166509
Книгарня «Ноти»,49.836954260394144,24.03132862559515,20,"проспект Шевченка, 16, Львів, Львівська область, 79000",10:00-18:00,"""немає"""
Видавництво Старого Лева,49.85126282386781,24.052394883103577,20,"вулиця Старознесенська, 24-26, Львів, Львівська область, 79024",09:00-18:00,322404798
Львівкнига,49.83993624446301,24.02986635681437,20,"площа Міцкевича, 8, Львів, Львівська область, 79000",09:00-18:00,"""немає"""
Книгарня ім.Антонича,49.83445345971964,24.013006787087097,20,"вулиця Степана Бандери, 33, Львів, Львівська область, 79000",09:00-18:00,322379748
Книги,49.86940391384202,23.949723128173645,20,"вулиця Шевченка, 374, Львів, Львівська область, 79000",09:00-18:30,"""немає"""
